id	length	midBlast_Ctrl_rep1	midBlast_Ctrl_rep2	midBlast_Ctrl_rep3	midBlast_siTfap2c_rep1	midBlast_siTfap2c_rep2	midBlast_siTfap2c_rep3
Bmp1	4454	8	32	10	45	65	37
Bmp10	1317	0	4	0	12	2	5
Bmp15	3063	22	36	36	56	60	87
Bmp2	3566	14	14	48	37	92	77
Bmp2k	6568	29	56	67	86	107	60
Bmp3	3112	2	0	6	12	18	24
Bmp4	1994	26	20	18	16	5	13
Bmp5	2528	4	1	4	9	7	5
Bmp6	2410	16	41	20	207	251	106
Bmp7	3670	7	3	8	24	44	43
Bmp8a	2400	35	55	23	45	40	22
Bmp8b	2940	80	59	76	146	184	109
Bmper	3806	6	2	7	36	32	40
Bmpr1a	5481	2001	2549	2539	1762	2063	1834
Bmpr1b	5830	12	31	14	48	82	34
Bmpr2	11087	2039	2353	2382	1574	1679	1256
Bms1	4288	5166	6559	6985	4631	4862	3164
Bmx	3005	0	0	0	7	5	9
Bmyc	841	1115	1185	1335	260	315	162
Bnc1	4663	12	6	6	25	24	35
Bnc2	6453	55	52	60	161	226	81
Bnip1	1085	218	207	146	85	113	85
Bnip2	5806	481	602	511	290	457	303
Bnip3	1756	2751	3947	4132	2496	3288	3383
Bnip3l	3237	2993	3679	3942	2257	2802	2548
Bnipl	1788	10	37	49	77	63	72
Boc	4428	43	111	56	156	190	118
Bod1	1402	606	751	711	421	495	395
Bod1l	10538	5932	7483	7347	3690	3627	2703
Bok	1432	334	371	454	209	314	303
Bola1	729	307	451	428	416	468	397
Bola2	337	279	464	426	212	288	374
Bola3	530	612	859	785	615	668	706
Boll	1258	7	4	0	0	3	18
Bop1	2476	769	846	992	621	706	546
Bora	2293	579	612	629	537	613	420
Borg	2766	4	2	4	37	29	14
Bpgm	2068	79	88	90	125	194	121
Bphl	1209	25	44	65	25	27	28
Bpi	1779	1	0	0	17	38	15
Bpifa1	1104	0	2	0	28	12	15
Bpifa2	961	0	0	0	7	14	15
Bpifa3	1110	0	0	2	24	13	5
Bpifa5	1085	0	1	4	6	19	22
Bpifa6	1572	0	0	0	0	1	3
Bpifb1	1712	14	16	8	20	29	31
Bpifb2	1730	0	6	0	16	24	13
Bpifb3	1821	0	2	0	8	11	5
Bpifb4	2115	1	0	6	10	21	19
Bpifb5	1637	0	0	0	11	28	20
Bpifb6	1667	0	0	0	17	28	32
Bpifb9a	2038	0	3	2	15	1	16
Bpifb9b	2046	0	1	5	10	7	6
Bpifc	2328	0	1	6	17	27	19
Bpnt1	2182	393	480	565	123	154	102
Bptf	11488	10072	12393	12692	5756	6411	3546
Braf	9728	1408	1788	1486	1495	1719	1079
Brap	4151	1445	1618	1817	1761	1741	1163
Brat1	3485	246	340	306	290	244	202
Brca1	6648	2786	3501	3043	1319	1517	1103
Brca2	11133	2376	3125	3086	2039	2463	1422
Brcc3	4456	480	605	639	322	443	349
Brd1	5137	7234	9476	9547	4016	4780	2518
Brd2	5025	9017	10714	11523	9592	9917	6327
Brd3	5565	3826	4635	4676	2582	2886	1617
Brd4	6310	9020	11081	10644	7290	8047	3966
Brd7	2370	1361	1773	1650	1451	1395	1208
Brd8	4730	3222	4308	4053	2285	2450	1514
Brd9	2428	1238	1703	1620	1443	1659	1476
Brdt	5025	130	214	198	483	432	333
Bre	1460	402	431	379	262	255	175
Brf1	2755	415	547	472	332	297	223
Brf2	1383	232	243	328	146	157	148
Bri3	1142	352	361	446	246	204	207
Bri3bp	6988	1196	1584	1388	1935	2115	1762
Bricd5	997	0	0	0	0	0	0
Brinp1	3354	0	2	2	10	22	33
Brinp2	4101	0	0	0	19	12	22
Brinp3	3172	0	0	0	10	2	11
Brip1	6933	446	632	545	328	467	305
Brip1os	6508	296	356	378	391	396	243
Brix1	2654	2803	3507	3742	3516	3810	3585
Brk1	1095	1083	1139	1197	785	1021	746
Brms1	1338	880	965	1020	793	852	748
Brms1l	2566	1001	1106	1052	508	609	477
Brox	3456	922	1154	1258	588	708	538
Brpf1	4901	1994	2581	2501	1706	1931	1179
Brpf3	5973	1456	1762	1656	801	809	418
Brs3	2772	0	0	1	13	7	10
Brsk1	3184	10	8	28	114	64	55
Brsk2	4667	210	215	271	153	200	109
Brwd1	11242	6554	7605	7851	4437	4705	3529
Brwd3	6434	2765	3698	3884	3055	3331	2266
Bscl2	2276	138	176	178	265	247	206
Bsdc1	2659	1219	1301	1382	1013	1388	688
Bsg	1752	7548	9047	9213	7740	8339	5512
Bsn	15937	22	28	21	99	126	72
Bsnd	2714	0	0	0	14	13	19
Bsph1	823	0	0	0	0	4	6
Bsph2	530	0	4	0	0	3	0
Bspry	1743	403	420	418	358	444	289
Bst1	2336	2	0	0	4	5	10
Bst2	766	62	71	86	53	44	34
Bsx	875	0	0	0	13	18	16
Btaf1	8509	2975	4050	4122	3393	3875	2852
Btbd1	3001	1577	2105	2031	634	653	672
Btbd10	2563	613	876	899	1159	1138	959
Btbd11	5955	6	27	12	52	33	29
Btbd16	3434	1	8	2	37	66	39
Btbd17	2260	1	0	3	21	18	17
Btbd18	3520	311	400	490	995	1346	843
Btbd19	2579	199	190	280	308	296	217
Btbd2	3026	112	82	132	139	181	61
Btbd3	5111	108	122	122	32	36	48
Btbd6	2098	284	265	308	177	199	109
Btbd7	4306	779	930	853	665	701	433
Btbd8	1134	61	86	76	111	73	45
Btbd9	6857	292	341	321	273	275	219
Btc	2876	0	2	0	2	17	9
Btd	1942	30	51	44	54	34	44
Btf3	1129	3845	4252	4365	2707	3265	2394
Btf3l4	3111	1077	1457	1389	463	524	392
Btg1	5008	895	1199	1507	1912	2139	1719
Btg1-ps1	825	0	0	0	3	5	1
Btg1-ps2	1194	0	0	0	6	14	6
Btg2	3083	365	528	771	2776	3203	2577
Btg3	2632	40	60	46	66	52	64
Btg4	1311	26	28	18	16	66	38
Btk	2535	189	195	171	38	39	42
Btla	3235	0	0	0	3	9	20
Btn1a1	3448	20	36	37	49	49	46
Btn2a2	2983	42	80	38	98	94	48
Btnl1	2113	0	0	2	31	20	19
Btnl10	1028	0	2	0	15	7	20
Btnl2	2563	0	0	2	10	16	10
Btnl4	1761	4	2	8	22	16	19
Btnl5-ps	2592	1	16	0	13	17	30
Btnl6	1620	2	0	0	2	10	15
Btnl9	2463	0	2	0	13	21	8
Btrc	6325	4727	5863	6225	3065	3559	2903
Bub1	4337	1153	1579	1604	608	665	614
Bub1b	3669	3633	3991	3896	2828	2862	1839
Bub3	2055	1366	1444	1368	803	951	748
Bud13	2208	1072	1427	1361	1089	1033	762
Bud31	705	708	1058	1054	703	776	710
Bves	1607	14	9	34	8	16	8
Bvht	601	0	4	5	5	2	16
Bysl	3854	2218	2451	2931	1777	1817	1379
Bzrap1	7616	20	11	7	95	82	85
Bzw1	2833	6917	8578	8698	4634	5265	5102
Bzw2	1871	1003	1238	1153	1008	1022	868
C030006K11Rik	1821	57	36	80	86	86	43
C030007H22Rik	589	0	1	0	1	6	4
C030013C21Rik	795	4	4	2	8	10	10
C030013G03Rik	1022	0	0	0	5	0	2
C030016D13Rik	2595	6	4	14	22	25	20
C030018K13Rik	1521	0	0	0	6	10	16
C030023E24Rik	2872	0	0	0	0	0	4
C030029H02Rik	2279	0	0	0	2	10	10
C030034I22Rik	2746	82	55	70	58	74	59
C030034L19Rik	3135	0	0	4	10	5	25
C030037D09Rik	1056	0	0	0	4	3	11
C030039L03Rik	4737	19	40	37	43	38	37
C130021I20Rik	3815	2	10	4	20	24	38
C130026I21Rik	1971	153	214	177	210	312	261
C130026L21Rik	1838	0	0	0	20	24	14
C130030K03Rik	2163	0	0	0	2	0	4
C130036L24Rik	1266	9	32	12	30	40	34
C130046K22Rik	6174	13	18	28	53	91	82
C130050O18Rik	2006	46	95	84	35	87	40
C130060C02Rik	1157	0	5	10	13	11	3
C130060K24Rik	2953	4	0	0	11	4	10
C130071C03Rik	1368	0	0	0	0	0	2
C130074G19Rik	2853	700	643	1051	2154	3129	2422
C130079G13Rik	2789	0	0	0	4	3	10
C130080G10Rik	1906	2	0	0	12	47	19
C130083M11Rik	2071	33	97	84	194	215	138
C1d	2957	539	753	777	849	1138	1299
C1galt1	2065	491	739	591	505	508	426
C1galt1c1	1507	128	139	155	92	169	150
C1qa	1082	0	0	4	6	14	5
C1qb	1062	0	1	8	0	6	7
C1qbp	1165	5624	6609	7089	4881	5376	4777
C1qc	1054	0	0	0	3	2	3
C1ql1	1246	2	0	6	22	43	18
C1ql2	2000	0	2	0	19	28	15
C1ql3	3163	2	0	0	16	4	3
C1ql4	717	43	48	41	39	34	16
C1qtnf1	4519	4	10	0	61	60	58
C1qtnf2	1211	4	2	4	6	12	20
C1qtnf3	2569	1	2	0	6	8	23
C1qtnf4	1365	33	58	82	79	130	94
C1qtnf5	4275	0	0	0	0	0	0
C1qtnf6	2428	2	0	0	10	0	14
C1qtnf7	1692	0	0	0	17	10	14
C1qtnf9	1903	12	9	20	38	34	31
C1ra	2762	0	6	6	16	8	14
C1rb	2166	9	4	10	22	54	25
C1rl	3010	0	0	2	38	20	14
C1s1	2985	6	6	8	29	35	53
C1s2	2662	7	4	6	31	33	34
C2	2644	152	180	233	140	139	115
C230004F18Rik	869	0	0	0	4	3	9
C230014O12Rik	2674	9	22	14	6	21	18
C230024C17Rik	3337	0	1	0	14	25	17
C230035I16Rik	617	0	3	5	13	3	9
C230037L18Rik	872	0	6	1	1	11	8
C230072F16Rik	2139	0	0	0	15	22	24
C230079O03Rik	1385	0	2	0	2	4	3
C230091D08Rik	3708	339	391	380	132	135	140
C2cd2	6556	109	172	133	101	129	118
C2cd2l	4334	416	447	569	416	509	224
C2cd3	7812	407	580	592	335	394	224
C2cd4a	1352	100	175	185	435	286	267
C2cd4b	1330	9	8	6	12	25	4
C2cd4c	6754	0	6	4	28	48	50
C2cd4d	1316	0	0	0	17	16	4
C2cd5	4513	589	775	815	430	489	268
C3	5139	8	20	8	44	78	84
C330004P14Rik	628	0	0	0	2	2	7
C330006A16Rik	2683	192	212	211	307	279	263
C330007P06Rik	3339	876	1083	1180	655	719	646
C330011F03Rik	2350	0	0	6	12	15	18
C330013E15Rik	878	6	14	6	4	16	6
C330013J21Rik	883	55	65	35	35	46	28
C330018D20Rik	2413	157	166	196	51	85	109
C330021F23Rik	1621	207	283	217	154	194	183
C330022C24Rik	1077	1	0	1	10	12	7
C330024C12Rik	1396	0	4	0	3	10	16
C330024D21Rik	3739	128	176	190	92	126	98
C330027C09Rik	3974	1647	2212	2304	1378	1649	1774
C3ar1	4299	6	12	6	24	16	24
C430002N11Rik	1714	0	4	4	18	11	6
C430049B03Rik	2993	614	853	705	278	270	145
C4a	5361	20	31	44	68	87	55
C4b	5393	6	12	19	98	98	72
C4bp	1883	0	2	2	11	9	23
C4bp-ps1	754	5	2	8	10	13	18
C530005A16Rik	2436	24	40	17	43	40	44
C530008M17Rik	6835	25	36	53	120	124	129
C530044C16Rik	1239	0	0	0	5	10	12
C5ar1	2570	0	0	0	14	6	18
C5ar2	3561	0	4	2	31	15	22
C6	2841	0	3	4	7	6	33
C630028M04Rik	3387	0	2	0	1	0	10
C630031E19Rik	3057	0	0	2	25	25	8
C630043F03Rik	2687	8	7	14	17	25	30
C7	2709	11	14	4	37	22	19
C730002L08Rik	2917	0	0	0	3	12	11
C730027H18Rik	2300	0	0	0	28	14	4
C730036E19Rik	2640	0	0	0	6	17	9
C77080	5659	2805	2884	3096	1394	1640	811
C77370	10891	1784	2360	2681	737	844	622
C86187	2020	41	49	35	63	47	59
C87198	617	0	0	0	6	8	3
C87414	2719	0	4	0	8	10	22
C87436	3122	137	203	146	163	183	137
C87499	1828	0	2	2	79	16	16
C87977	1826	28	67	55	77	81	49
C8a	3635	2	2	8	27	25	30
C8b	2239	6	21	5	29	14	47
C8g	1236	7	15	5	15	20	14
C9	1767	6	1	4	13	4	5
C920006O11Rik	1447	26	11	12	12	20	15
C920009B18Rik	4515	9	3	8	10	23	32
C920021L13Rik	1726	8	21	22	30	19	27
C920025E04Rik	1289	0	4	0	7	2	0
Caap1	2109	332	504	507	368	417	338
Cab39	3800	3997	5533	5453	4954	6281	5439
Cab39l	3037	740	1074	944	495	539	645
Cabin1	7460	1584	1916	1818	1208	1362	783
Cables1	3343	101	74	81	72	66	58
Cables2	2945	394	664	697	535	498	282
Cabp1	1181	4	0	4	15	12	9
Cabp2	1290	0	0	0	2	26	20
Cabp4	1433	0	4	5	6	21	16
Cabp5	1745	2	0	2	17	24	23
Cabp7	699	13	23	17	36	39	19
Cabs1	1490	0	0	0	0	4	0
Cabyr	2125	9	19	4	15	7	10
Cacfd1	3474	93	134	104	153	177	137
Cachd1	4965	69	94	67	110	129	76
Cacna1a	7929	86	95	86	170	144	131
Cacna1b	9776	70	41	74	203	287	192
Cacna1c	14774	2	17	8	82	138	100
Cacna1d	9355	56	67	63	228	173	144
Cacna1e	12697	5	8	4	96	136	145
Cacna1f	6075	9	19	4	59	81	58
Cacna1g	8223	10	2	4	61	53	57
Cacna1h	8228	44	52	62	230	238	163
Cacna1i	9794	26	28	47	70	143	94
Cacna1s	6260	11	9	10	94	78	98
Cacna2d1	7493	21	12	9	66	35	40
Cacna2d2	5542	0	5	12	51	74	36
Cacna2d3	3695	6	7	6	31	29	48
Cacna2d4	5803	11	25	22	79	82	99
Cacnb1	3848	59	67	143	160	277	113
Cacnb2	4450	10	10	32	40	43	56
Cacnb3	3015	616	571	666	344	384	279
Cacnb4	8682	17	19	24	47	37	82
Cacng1	1203	0	8	2	18	15	11
Cacng2	2887	10	6	8	12	13	10
Cacng3	1526	0	0	2	25	9	24
Cacng4	984	0	0	4	7	0	0
Cacng5	3834	0	0	2	24	24	32
Cacng6	783	0	0	0	10	7	9
Cacng7	828	2	0	4	4	3	21
Cacng8	1380	1	2	0	15	4	8
Cactin	2724	1062	1292	1392	1074	1456	980
Cacul1	5790	2162	2940	2751	1752	1860	1240
Cacybp	2115	2686	3167	3422	2020	2588	2268
Cad	7137	4865	5706	6547	7737	7504	4410
Cadm1	4387	867	960	883	573	681	462
Cadm2	9564	0	4	0	5	13	16
Cadm3	4159	0	2	0	14	12	18
Cadm4	2155	80	112	113	128	201	130
Cadps	5529	14	25	10	37	46	56
Cadps2	6043	6	13	10	19	28	32
Cage1	2858	19	16	16	19	39	22
Cahm	1223	8	22	18	27	9	6
Calb1	2867	0	0	0	9	19	7
Calb2	1431	26	26	16	22	63	81
Calca	1513	2	2	0	21	44	24
Calcb	962	0	0	0	4	16	0
Calcoco1	2824	424	446	469	286	321	255
Calcoco2	2029	46152	63678	62785	36147	40375	44216
Calcr	3864	0	4	2	7	13	36
Calcrl	4736	0	0	2	16	28	27
Cald1	4035	54	103	122	695	990	487
Calhm1	1047	0	0	0	2	18	9
Calhm2	2049	6	6	3	17	55	25
Calm1	4001	13331	16094	14678	8413	9471	9150
Calm2	1216	11879	16262	12454	4313	6862	5103
Calm3	2208	3372	3569	3555	1863	1964	1601
Calm4	915	19	7	8	16	10	10
Calm5	549	6	22	28	8	4	6
Calml3	1426	0	0	6	6	8	12
Calml4	860	22	22	18	32	27	20
Caln1	2936	1	4	4	20	15	5
Calr	1943	42237	48949	47712	25224	24332	13395
Calr3	1863	10	17	37	38	45	38
Calr4	2527	642	614	582	412	338	280
Calu	3423	3957	5130	4542	2953	3433	3024
Caly	1627	6	5	12	16	32	37
Camk1	1434	448	441	488	250	223	139
Camk1d	7342	12	3	8	37	69	57
Camk1g	2453	0	0	0	9	24	13
Camk2a	5358	0	2	10	46	83	72
Camk2b	4166	222	155	122	92	95	66
Camk2d	8588	1724	2125	2051	564	630	464
Camk2g	3705	823	970	946	658	754	382
Camk2n1	3613	0	2	13	20	4	8
Camk2n2	1282	88	90	84	126	153	93
Camk4	12331	120	201	147	366	257	150
Camkk1	3451	8	2	0	33	29	41
Camkk2	4889	45	53	72	37	64	61
Camkmt	1439	177	255	243	146	203	91
Camkv	3031	0	0	0	42	37	55
Caml	1387	584	720	640	372	445	347
Camp	599	0	0	1	12	18	14
Camsap1	8074	2242	2786	3057	1959	1980	1106
Camsap2	7823	2371	2953	3007	1446	1698	968
Camsap3	4296	1304	1502	1573	427	563	337
Camta1	10379	189	229	196	384	379	209
Camta2	4647	817	1009	919	291	282	180
Cand1	8209	14193	17251	18623	9554	11287	8340
Cand2	5453	64	97	119	118	121	72
Cant1	3273	311	412	351	327	340	264
Canx	4289	20276	24906	24983	18509	19899	14631
Cap1	2768	6475	7890	7301	3100	3499	2607
Cap2	3658	0	0	0	35	34	29
Capg	1917	296	362	293	206	217	148
Capn1	3191	1389	1438	1307	319	260	227
Capn10	2877	301	339	384	372	384	256
Capn11	2575	19	60	30	33	45	30
Capn12	2828	52	65	63	56	98	39
Capn13	2614	1	0	1	35	38	31
Capn15	3288	1014	1229	1248	609	593	229
Capn2	3185	1045	1252	1066	759	895	505
Capn3	3488	16	29	12	80	39	57
Capn5	4565	438	515	578	205	265	149
Capn6	3553	166	84	214	49	37	31
Capn7	3561	799	937	926	419	402	388
Capn8	3705	13	0	2	21	59	33
Capn9	2330	5	4	0	19	31	21
Capns1	1430	1419	1816	1603	751	824	599
Capns2	1015	0	2	0	12	4	1
Caprin1	7593	17000	21628	20767	10573	12031	9709
Caprin2	3697	266	404	378	524	577	436
Caps2	2760	0	0	2	30	20	16
Capsl	946	0	8	0	3	9	16
Capza1	3187	2224	3365	3245	1399	1758	2139
Capza2	1986	2264	3129	3307	1291	1755	1606
Capza3	1262	0	0	0	2	10	12
Capzb	1993	2455	2832	2768	2846	3013	2041
Car1	1248	0	0	1	7	0	8
Car10	3336	1	6	0	40	12	16
Car11	1440	2	0	0	21	16	2
Car12	3716	2	0	6	60	70	47
Car13	2299	0	3	0	5	15	17
Car14	1625	15	22	44	30	43	17
Car15	1105	2	7	6	20	12	12
Car2	1790	4	4	6	21	10	30
Car3	1529	0	0	0	6	8	11
Car4	1300	66	72	61	80	34	33
Car5a	1245	20	20	18	8	15	5
Car5b	3449	103	120	81	57	42	49
Car6	1369	4	2	6	18	17	8
Car7	2154	8	8	2	15	18	14
Car8	5722	21	18	29	11	20	12
Car9	1959	25	24	27	48	44	60
Card10	4728	10	31	20	79	41	46
Card11	4112	20	18	10	80	50	48
Card14	3958	5	7	23	24	30	42
Card6	4531	209	203	310	495	510	313
Card9	1611	12	19	22	24	20	19
Carf	5789	227	223	277	143	146	117
Carhsp1	2849	479	510	518	558	698	507
Carkd	1420	192	262	207	128	164	123
Carlr	2571	0	0	1	20	16	29
Carm1	3218	1354	1557	1692	889	1080	655
Carns1	3968	39	38	58	41	37	31
Cars	3222	972	1200	1206	957	968	656
Cars2	1850	219	205	251	195	256	270
Cartpt	875	10	22	13	15	22	14
Casc1	2534	15	12	8	26	50	36
Casc3	3742	1489	1721	1901	1270	1500	831
Casc4	4354	3192	3142	3260	2037	1937	1414
Casc5	6525	1878	2352	2314	1281	1658	1270
Casd1	3760	76	140	119	39	28	39
Cask	8361	100	119	147	145	148	156
Caskin1	6174	1989	2426	2462	1806	2137	1126
Caskin2	4722	360	451	454	261	320	150
Casp1	1513	0	0	4	6	4	10
Casp12	2605	0	0	0	0	5	5
Casp14	2331	10	0	4	82	98	74
Casp2	3529	430	633	577	539	719	473
Casp3	2610	325	527	579	525	658	715
Casp4	1443	3	0	0	2	1	5
Casp6	1475	993	1163	1193	1968	2135	1893
Casp7	2349	416	476	311	179	198	118
Casp8	2893	6	10	2	9	7	24
Casp8ap2	6804	2338	2708	2786	1568	1936	1676
Casp9	3899	279	278	267	84	176	63
Casq1	1874	22	8	31	40	49	18
Casq2	2514	13	3	24	66	78	36
Casr	4534	16	18	12	55	71	36
Cass4	3711	10	10	10	39	72	54
Cast	4747	581	768	807	617	656	538
Casz1	8500	767	717	798	568	618	339
Cat	2551	1564	1802	1346	1847	2087	1429
Catip	2101	4	2	12	43	41	40
Catsper1	2061	0	0	1	28	28	31
Catsper2	2247	52	96	131	93	81	46
Catsper3	1352	2	1	2	15	19	25
Catsper4	1727	4	6	2	46	39	27
Catsperb	3716	2	0	8	27	2	34
Catsperd	2565	13	20	12	63	71	41
Catsperg1	3566	26	21	66	151	126	66
Catsperg2	3957	15	12	25	37	53	20
Cav1	2767	0	0	0	4	8	21
Cav2	3350	14	12	8	14	6	27
Cav3	1157	0	2	1	4	1	10
Cbfa2t2	6080	790	867	895	409	387	260
Cbfa2t3	7964	255	351	248	281	235	132
Cbfb	2913	1034	1344	1189	665	683	513
Cbl	5083	3015	3729	3967	2512	2451	1234
Cblb	6322	594	637	680	283	412	180
Cblc	1662	42	79	57	15	24	29
Cbll1	4007	742	875	936	761	981	529
Cbln1	2335	8	20	18	58	76	54
Cbln2	2682	0	0	0	11	13	2
Cbln3	4723	21	25	16	58	50	34
Cbln4	2799	0	0	0	5	11	33
Cbr1	1081	490	586	745	511	495	413
Cbr2	1021	44	26	26	13	19	12
Cbr3	1167	29	28	53	199	178	91
Cbr4	1115	121	205	143	73	102	115
Cbs	2503	456	539	610	266	298	235
Cbwd1	2011	930	1075	1136	789	967	1028
Cbx1	1274	2836	3011	2818	1919	1881	1639
Cbx2	3740	206	219	191	61	114	47
Cbx3	1803	1987	2793	2740	1618	2237	2770
Cbx4	5197	248	334	290	264	240	106
Cbx5	8986	4595	5402	5434	1827	2261	1833
Cbx6	5449	156	200	209	54	73	35
Cbx7	2893	437	467	462	509	483	297
Cbx8	1393	32	34	42	72	65	43
Cby1	1119	176	182	203	351	361	252
Cc2d1a	3288	699	696	720	223	230	135
Cc2d1b	3286	1517	1739	1593	677	681	458
Cc2d2a	5449	22	26	18	42	37	42
Ccar1	4478	7153	9125	9731	6599	7210	5218
Ccar2	3704	471	544	524	478	557	300
Ccbe1	5742	12	38	16	116	136	84
Ccbl1	1924	88	138	192	168	144	56
Ccbl2	2279	232	316	320	85	122	92
Ccdc101	1166	234	281	306	252	247	178
Ccdc102a	2304	13	12	5	52	44	28
Ccdc103	1800	0	2	0	13	21	35
Ccdc105	1718	0	2	0	27	30	19
Ccdc106	2093	20	45	26	52	82	52
Ccdc107	814	98	96	119	32	69	51
Ccdc108	5718	0	0	5	55	91	71
Ccdc109b	1318	0	10	3	22	20	24
Ccdc110	2626	0	4	0	9	9	25
Ccdc112	2801	294	296	320	189	175	172
Ccdc113	1271	6	1	11	81	68	72
Ccdc114	2453	14	17	22	41	24	38
Ccdc115	1705	560	560	660	400	490	320
Ccdc116	4257	9	19	29	41	58	25
Ccdc117	3401	1928	2200	2603	2754	3503	2732
Ccdc12	821	473	428	457	259	271	275
Ccdc120	3641	41	59	64	58	103	96
Ccdc121	1819	0	0	0	4	2	8
Ccdc122	1721	4	7	12	16	15	4
Ccdc124	911	2331	2663	2944	1925	2694	2426
Ccdc125	2705	34	16	20	111	79	124
Ccdc126	2271	364	570	491	205	288	181
Ccdc127	8615	738	816	823	399	488	398
Ccdc129	3284	0	0	1	5	8	25
Ccdc13	2640	77	105	68	45	54	40
Ccdc130	2169	397	542	564	313	399	327
Ccdc132	5862	1135	1187	1261	759	812	680
Ccdc134	2045	77	84	107	127	187	83
Ccdc136	3491	49	114	47	138	130	117
Ccdc137	2759	744	924	1132	1152	1251	956
Ccdc138	2466	49	59	93	73	85	60
Ccdc14	4107	551	602	593	287	341	253
Ccdc141	6329	10	0	4	19	13	40
Ccdc142	3129	32	35	50	45	56	38
Ccdc144b	2478	0	2	1	18	7	10
Ccdc146	3389	0	2	0	21	23	25
Ccdc148	3640	4	16	4	19	24	29
Ccdc149	3317	2	8	3	21	45	37
Ccdc15	3525	485	632	536	633	589	344
Ccdc150	3807	136	228	167	79	186	94
Ccdc151	2200	0	3	9	28	35	53
Ccdc152	798	34	36	25	1	10	10
Ccdc153	1086	8	14	7	32	26	8
Ccdc154	2407	13	10	15	19	68	32
Ccdc155	2210	82	79	66	97	146	80
Ccdc157	5152	20	45	16	93	89	45
Ccdc158	3636	43	29	46	93	65	75
Ccdc159	1545	10	2	7	27	62	24
Ccdc160	1536	190	263	221	18	38	12
Ccdc162	3182	10	26	6	33	43	30
Ccdc163	1214	113	142	184	208	212	218
Ccdc166	2414	28	29	30	21	22	6
Ccdc167	5646	121	95	130	116	138	80
Ccdc169	3324	36	24	35	36	34	19
Ccdc17	2003	31	36	63	77	109	36
Ccdc170	2151	162	120	143	123	111	67
Ccdc171	4525	144	274	278	291	418	232
Ccdc172	1086	7	22	19	41	20	12
Ccdc173	1731	70	83	123	102	118	109
Ccdc174	1757	798	1012	1029	751	901	1026
Ccdc175	2630	2	1	0	11	16	9
Ccdc176	2190	22	46	14	45	78	101
Ccdc177	4399	0	6	0	36	25	30
Ccdc178	3335	0	0	0	18	3	27
Ccdc18	4657	549	802	698	326	349	315
Ccdc180	5081	4	3	5	77	95	99
Ccdc181	1896	51	62	60	90	57	43
Ccdc183	1725	9	25	13	78	65	57
Ccdc184	2329	6	6	2	36	28	11
Ccdc185	2055	0	8	0	14	1	8
Ccdc186	2754	1208	1574	1456	1153	1246	1115
Ccdc22	2256	210	203	209	37	58	31
Ccdc23	980	90	74	83	39	45	16
Ccdc24	1281	9	6	7	43	26	22
Ccdc25	2227	1730	2110	2374	1971	2152	1633
Ccdc27	2084	2	0	1	32	24	19
Ccdc28a	1166	80	124	99	72	101	59
Ccdc28b	840	50	45	44	78	70	44
Ccdc3	2658	2	0	2	7	9	18
Ccdc30	4712	58	24	41	52	54	59
Ccdc32	1870	101	200	150	78	87	105
Ccdc33	3597	0	5	3	17	38	30
Ccdc34	2079	573	697	607	775	696	489
Ccdc34os	980	6	11	12	1	13	12
Ccdc36	2866	18	26	21	86	90	76
Ccdc37	2141	17	13	39	18	45	22
Ccdc38	3655	22	22	15	62	56	35
Ccdc39	3616	15	19	37	45	41	41
Ccdc40	4979	76	58	60	83	56	120
Ccdc42	1353	163	169	229	44	69	52
Ccdc42b	921	4	14	2	26	27	7
Ccdc43	2307	4301	5205	5475	2370	3030	2575
Ccdc47	3268	3622	4427	4799	2993	3073	3001
Ccdc50	7048	1064	1275	1184	739	772	615
Ccdc51	2397	129	167	193	173	140	149
Ccdc53	1379	373	388	358	280	380	276
Ccdc54	1296	0	0	1	6	6	3
Ccdc55	3116	2333	2823	2934	2646	3029	2185
Ccdc57	3390	104	116	116	136	147	128
Ccdc58	1225	613	634	792	531	612	554
Ccdc59	1078	982	1292	1188	695	786	750
Ccdc6	5511	3213	4197	3735	1877	1979	1199
Ccdc60	2582	19	6	36	93	43	32
Ccdc61	2010	580	660	631	265	316	218
Ccdc62	3920	38	28	46	32	61	48
Ccdc63	2435	80	74	125	170	178	140
Ccdc64	1853	262	341	332	288	287	197
Ccdc64b	1922	41	35	21	49	64	60
Ccdc65	1877	28	15	30	55	105	89
Ccdc66	2947	812	1015	1072	546	546	471
Ccdc67	3025	3	0	0	6	16	12
Ccdc68	1525	32	74	22	210	249	183
Ccdc69	1419	4	21	10	21	9	21
Ccdc70	1054	0	2	0	6	15	10
Ccdc71	3108	626	801	800	454	527	315
Ccdc71l	4155	48	104	68	80	92	97
Ccdc73	3944	141	218	188	194	172	154
Ccdc74a	1278	24	30	40	41	52	33
Ccdc77	2935	1623	1823	1949	1515	1701	1359
Ccdc78	1651	21	21	33	23	44	21
Ccdc79	2950	15	18	28	14	43	18
Ccdc7a	1990	0	0	0	8	6	15
Ccdc7b	1637	2	6	3	0	3	3
Ccdc8	2058	4	6	4	14	29	28
Ccdc80	3648	4	2	0	35	36	59
Ccdc81	2691	28	12	34	114	93	57
Ccdc82	4642	22	22	12	15	30	25
Ccdc83	2142	0	0	1	29	26	33
Ccdc84	1158	123	158	148	114	110	54
Ccdc85a	5460	8	6	2	26	18	36
Ccdc85b	4401	122	165	122	140	194	136
Ccdc85c	1547	204	262	174	55	68	62
