													RNA-seq												WGBS				
chr4	40705530	40705653	Aptx	124	Distal Intergenic	4	40682382	40703194	20813	-2336	ENSMUSG00000028411	aprataxin	2.642093872	2.706844364	3.245977799	0.582412449	1.920986847	1.322458909	0.46911118	1.976429628	2.63702359	3.391245308	2.268164874	1.72013397	1	1	1	0.204545455	0.268292683
chr4	46363236	46363383	Foxe1	148	Distal Intergenic	4	46343609	46346412	2804	19627	ENSMUSG00000070990	forkhead box E1	0	0	0	0	0	0	0.05628015	0.883146095	0.607890355	1.434636233	0	0	0.677083333	0.925824176	0.801453755	0.119191919	0.070833333
chr4	86859204	86859349	Rps6	146	Promoter (1-2kb)	4	86854660	86857412	2753	-1792	ENSMUSG00000028495	ribosomal protein S6	4.903245594	5.013859728	4.620498439	1.008888418	2.885058885	2.403297721	6.948014003	5.344931442	6.812318519	8.233643642	8.210929423	8.779565066	1	1	1	0.222222222	0.709677419
chr5	103688980	103689124	Aff1	145	Distal Intergenic	5	103692374	103816428	124055	-3250	ENSMUSG00000029313	AF4/FMR2 family, member 1	3.969509703	3.695325744	3.302911217	3.418247978	3.484602194	3.296394265	5.621545588	4.53367547	4.796130484	3.992949662	3.275972495	1.418670316	0.690740741	0.970355731	0.830548236	0.216516902	0.011908559
chr5	110096169	110096305	Plcxd1	137	Distal Intergenic	5	110099969	110103815	3847	-3664	ENSMUSG00000064247	phosphatidylinositol-specific phospholipase C, X domain containing 1	0.027464219	0.184803315	0.034575921	3.64E-09	9.95E-11	0.039578787	1.54494702	0.519289272	0.26757415	0.178543834	0.548197882	0.419402975	0.789473684	0.96	0.874736842	0.186046512	0
chr5	111328507	111328620	Pitpnb	114	Distal Intergenic	5	111330763	111388359	57597	-2143	ENSMUSG00000050017	phosphatidylinositol transfer protein, beta	2.080142567	1.741656816	0.896566365	0.14128629	0.325579836	0.789706719	4.039923687	5.591065998	6.875988885	6.937061852	5.151111954	4.397761898	1	0.949425287	0.974712644	0.210526316	0.636431784
chr5	121200653	121200793	Rpl6	141	Distal Intergenic	5	121204481	121209241	4761	-3688	ENSMUSG00000029614	ribosomal protein L6	3.936223325	4.133481328	4.111724107	1.242224444	2.211367371	0.902002553	6.886623841	4.700661654	6.305228195	7.565574329	7.806356283	8.674771349	0.666666667	1	0.833333333	0.226588629	0.308201058
chr5	125471491	125471628	Aacs	138	Exon (ENSMUST00000199788.1/ENSMUST00000199788.1, exon 1 of 1)	5	125475814	125517410	41597	-4186	ENSMUSG00000029482	acetoacetyl-CoA synthetase	1.79377522	1.881276978	1.23661507	0.726710915	0.580484164	0.563731189	2.850932383	3.740366343	4.958114185	6.23196802	2.437123848	1.703605732	0.805208333	0.953030303	0.879119318	0.245310358	0.03102374
chr5	134956949	134957076	Cldn4	128	Distal Intergenic	5	134945119	134946934	1816	-10015	ENSMUSG00000047501	claudin 4	5.228568602	5.295208734	4.077610463	2.322980878	1.361577484	0.710416116	0.49138069	0.714284209	0.189500726	7.269369836	5.302509155	1.104464148	0.705882353	0.955555556	0.830718954	0.222222222	0.208333333
chr5	140190003	140190148	Mad1l1	146	Intron (ENSMUST00000110829.6/17120, intron 11 of 16)	5	140008694	140174918	166225	-15085	ENSMUSG00000029554	MAD1 mitotic arrest deficient 1-like 1	5.364607449	5.70434358	5.787236546	4.260740802	4.793641022	3.38135952	2.418245779	3.552881164	3.712694818	4.177702567	5.071715482	1.551127145	0.648131304	0.967295913	0.807713609	0.086626273	0.189281298
chr5	150501031	150501170	Gm5	140	Intron (ENSMUST00000202386.1/194292, intron 2 of 2)	5	150499747	150502133	2387	963		predicted gene 5	7.103990623	7.640259399	7.315693018	2.138031322	4.598758224	4.416961312	8.0595047	7.293342893	7.04700391	5.063200911	0.614135007	0	0.736842105	1	0.868421053	0.21875	0.134615385
chr5	24682522	24682659	Nub1	138	Distal Intergenic	5	24685532	24710376	24845	-2873	ENSMUSG00000028954	negative regulator of ubiquitin-like proteins 1	5.74217872	5.949317812	5.953991526	4.964777509	5.136072415	4.715629841	7.388676167	7.368384231	8.997961317	8.957911697	5.660663408	3.026899186	0.904561404	0.953636364	0.929098884	0.243316625	0.246496668
chr6	120292157	120292293	B4galnt3	137	Intron (ENSMUST00000057283.7/330406, intron 1 of 19)	6	120203094	120294559	91466	2266	ENSMUSG00000041372	beta-1,4-N-acetyl-galactosaminyl transferase 3	0.901241112	0.823594486	0.525533713	0.7322857	0.818901267	0.570686361	0.590476319	0.812955708	0.531066498	0.216762773	1.522377205	0	0.631578947	0.979591837	0.805585392	0.203703704	0.24137931
chr6	120663359	120663511	Cecr2	153	Distal Intergenic	6	120666369	120724920	58552	-2858	ENSMUSG00000071226	CECR2, histone acetyl-lysine reader	4.894735321	4.621049641	4.715476092	5.710007393	5.448517767	4.706707356	6.130058521	4.725228543	4.820092143	3.963418635	2.838691635	1.931376712	0.948684211	0.979166667	0.963925439	0.249226006	0.115800866
chr6	50318587	50318686	Osbpl3	100	Intron (ENSMUST00000114468.8/71720, intron 15 of 21)	6	50295183	50300354	5172	-18233	ENSMUSG00000029822	oxysterol binding protein-like 3	0.098577483	0.061937356	0.529792967	0.487644811	0.501217979	0.47652271	0.25853294	0.224929333	0.312353834	0.599344457	1.014883708	0.498382619	0.7	1	0.85	0.12	0.24
chr7	101380829	101380974	Arap1	146	Promoter (1-2kb)	7	101382827	101385593	2767	-1853	ENSMUSG00000032812	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	0.664497404	0.626806364	0.733085302	0.376762683	0.284172963	0.398756413	1.041901834	0.557261071	1.343123519	2.64149054	1.811836796	0.578614161	0.69391129	0.961107328	0.827509309	0.217802628	0.081035437
chr7	125556771	125556869	Il4ra	99	Intron (ENSMUST00000033004.7/16190, intron 1 of 10)	7	125552287	125577967	25681	4484	ENSMUSG00000030748	interleukin 4 receptor, alpha	1.706747134	1.592210637	0.676130174	0.172158487	0.136094897	0.088163583	0.251126562	0.07086685	0	0.281776576	0.202395152	0.081852934	0.75	0.976190476	0.863095238	0.08	0.217391304
chr7	126349487	126349634	Lat	148	Intron (ENSMUST00000206881.1/ENSMUST00000206881.1, intron 1 of 1)	7	126363904	126364886	983	15252	ENSMUSG00000030742	linker for activation of T cells	0	0	0	0	0	0	0.941671332	1.473605102	1.921085898	1.392581206	0.758794369	0.974000595	0.666666667	1	0.833333333	0.08	0.03125
chr7	126618129	126618274	Nupr1	146	Distal Intergenic	7	126623278	126625344	2067	7070	ENSMUSG00000030717	nuclear protein transcription regulator 1	0	0	0.289952472	0	0.27369133	1.070265663	5.312767142	3.563060483	6.204827383	5.316848088	2.836320054	7.087993146	0.632891414	0.989130435	0.811010924	0.228298018	0.061968773
chr7	128233639	128233774	Armc5	136	Downstream (<1kb)	7	128237357	128245100	7744	-3583	ENSMUSG00000042178	armadillo repeat containing 5	2.241870684	2.33286544	1.533363998	0.321005629	0.948390782	0.578281805	0.253838054	0.657259504	1.268464337	1.356724153	2.231450841	1.015604611	0.746317512	0.992307692	0.869312602	0.206047033	0.12962963
chr7	135738588	135738736	Mki67	149	Distal Intergenic	7	135689784	135716361	26578	-22227	ENSMUSG00000031004	antigen identified by monoclonal antibody Ki 67	2.800767399	2.578103036	2.718497532	3.270182056	3.297957324	3.367217282	6.318975125	4.259867523	3.894614074	2.392262462	2.298256534	3.067000169	0.722222222	0.926829268	0.824525745	0.12244898	0.136363636
chr7	138921170	138921313	Bnip3	144	Distal Intergenic	7	138898540	138909519	10980	-11651	ENSMUSG00000078566	BCL2/adenovirus E1B interacting protein 3	3.544015457	3.791199363	3.463517834	4.033863452	4.162419528	4.250196075	6.339653837	5.870820884	7.426004711	7.413204789	3.584673933	1.502361156	0.675	0.947368421	0.811184211	0.227796053	0.028033794
chr7	19611381	19611526	Clasrp	146	Intron (ENSMUST00000049912.14/19698, intron 10 of 10)	7	19581035	19604486	23452	-6895	ENSMUSG00000061028	CLK4-associating serine/arginine rich protein	3.565463135	3.762859038	3.518585494	2.080145979	2.737786254	1.870664572	1.068193185	1.454038989	1.377234828	2.374700097	4.053901995	0.519035589	0.870535714	1	0.935267857	0.071428571	0.444444444
chr7	27547320	27547461	Pld3	142	Intron (ENSMUST00000117095.7/18807, intron 1 of 13)	7	27541740	27542745	1006	-4575	ENSMUSG00000003363	phospholipase D family, member 3	4.922859091	5.170574068	5.109001095	3.760071878	3.565377831	2.882893421	1.228490328	3.095944668	4.344381135	6.537875328	5.057138304	1.456059644	0.769678886	0.956054788	0.862866837	0.205467372	0.349174174
chr7	28966302	28966412	Actn4	111	Distal Intergenic	7	28893655	28962340	68686	-3962	ENSMUSG00000054808	actinin alpha 4	5.440410754	5.351677794	5.163671813	6.035733867	5.10058245	4.245221823	5.061965844	3.740398727	4.086681877	5.71515207	6.552470833	5.494841187	1	0.909090909	0.954545455	0.043478261	0.12
chr7	29223025	29223161	Kcnk6	137	3' UTR	7	29224918	29231307	6390	8146	ENSMUSG00000046410	potassium inwardly-rectifying channel, subfamily K, member 6	0	0	0	0	0	0.020766021	3.29478532	2.394826902	2.876108268	3.423084639	0.369278858	0.411983691	0.777777778	0.941176471	0.859477124	0.139534884	0.034482759
chr7	92895765	92895911	Prcp	147	Intron (ENSMUST00000076052.7/72461, intron 1 of 8)	7	92875300	92934014	58715	20465	ENSMUSG00000061119	prolylcarboxypeptidase (angiotensinase C)	0.580387682	0.414899715	1.369019716	1.24282198	1.407950917	1.989131739	2.641196556	2.097890544	2.242014029	3.323648204	2.941611541	1.840978786	0.775	0.985504202	0.880252101	0.208749584	0.152957888
chr8	107027616	107027712	Vps4a	97	Distal Intergenic	8	107031222	107045755	14534	-3510	ENSMUSG00000031913	vacuolar protein sorting 4A	6.14213157	6.377203588	6.206594388	3.954754665	5.864305023	5.627323757	5.461443311	4.986861423	5.491651105	5.224383769	5.173715108	3.62497818	0.833333333	0.941176471	0.887254902	0.166666667	0.178571429
chr8	33893438	33893633	Rbpms	196	Promoter (1-2kb)	8	33863007	33891764	28758	-1674	ENSMUSG00000031586	RNA binding protein gene with multiple splicing	4.846929519	5.456852136	5.410083264	4.853706281	5.346478275	4.991440214	6.070763006	4.348459062	4.102935223	3.558659484	2.487064387	5.258074138	0.666666667	0.952380952	0.80952381	0.114452799	0.043533158
chr8	84938387	84938533	Mast1	147	Promoter (1-2kb)	8	84911908	84937359	25452	-1028	ENSMUSG00000053693	microtubule associated serine/threonine kinase 1	0	0.062349015	0.011003264	0	0	0.085364146	1.372928554	1.88003504	2.966487687	1.976799861	0.392277851	0.128322043	0.727272727	1	0.863636364	0.15	0.038461538
chr9	120109681	120109850	Slc25a38	170	Promoter (<=1kb)	9	120110374	120124504	14131	-524	ENSMUSG00000032519	solute carrier family 25, member 38	4.16474606	4.584523614	4.552229498	5.304635155	4.940317121	4.4818414	5.909139801	6.14781546	6.046281503	4.283936584	3.838598863	3.289098178	0.727272727	0.877995643	0.802634185	0.094629156	0.069047619
chr9	65663072	65663216	Rbpms2	145	Distal Intergenic	9	65658977	65659809	833	4095	ENSMUSG00000032387	RNA binding protein with multiple splicing 2	7.864099457	7.913068914	8.218606825	7.929246571	8.282328596	8.729382824	8.716329776	7.71829312	6.376620315	6.869896076	7.005781721	5.581152366	0.779956051	0.957043651	0.868499851	0.184632035	0.071143496
